path,input_files_field
id,entity_id
name,organization_name
alternative_name,
description,
email,
website,
additional_websites[].,
tax_status,
tax_id,
year_incorporated,
legal_status,
logo,
uri,
parent_organization_id,
funding[].id,
contacts[].id,
phones[].id,
phones[].number,phone
locations[].id,
locations[].location_type,
locations[].name,
locations[].addresses[].id,address_record_id
locations[].addresses[].location_id,
locations[].addresses[].address_1,address_line_1
locations[].addresses[].city,city
locations[].addresses[].region,county
locations[].addresses[].state_province,state
locations[].addresses[].postal_code,postal_code
locations[].addresses[].country,
locations[].addresses[].address_type,address_type
locations[].phones[].id,
locations[].phones[].number,
programs[].id,
organization_identifiers[].id,
attributes[].id,
metadata[].id,
