entity_id,organization_name,address_record_id,address_type,address_line_1,address_line_2,city,county,state,postal_code,phone,primary_license,npi,hoursoperation,primary_taxonomy_id,taxonomies,accessibility,behavioral_health_services,caresettings,languages_spoken,fees,population_served,gbp_id,hash_value,source,created_at,upsert_reason,job_id,processing_date,processing_status
162670,"AURORA COMPREHENSIVE COMMUNITY MENTAL HEALTH CENTER, INC",63128,1,1290 Chambers Rd Fl 2,,Aurora,Arapahoe,CO,80011,(303) 617-2300,,1811254683,{},261QM0801X,"{324500000X,320600000X,261QM0801X}",{},{},{},{},{},{},51001547,3285fc78ad55efdc6d40228572055f6143c9c00f0d12a9f3a23b6703dd35ff79,hsd api,1/5/24 9:43 AM,No change,,,
215542,"INNER SELF AND WISDOM, LLC",250368,1,12101 E 2nd Ave,,Aurora,,CO,80011,(720) 975-4368,,1932649662,{},251S00000X,"{251S00000X,251S00000X,LPCC,NLC}",{},{},{},{},{},{},51001562,c72a2186cae056603068d312a0b33d20ab58e0e84cf3b20deeda32cfbf37d0ab,hsd api,1/5/24 9:43 AM,No change,,,
2029585,COLORADO COALITION FOR THE HOMELESS,17637392,1,2111 Champa St,,Denver,Denver,CO,80205,(303) 293-2220,,1376201665,{},261QF0400X,{261QF0400X},{},{},{},{},{},{},51000725,326c567a6dc6c613ab491e6992f03fc693d43ef0132e8be01ebb17efad904bf8,hsd api,1/5/24 9:43 AM,No change,,,
1262081,,28724903,1,7373 Birch St,,Commerce City,Adams,CO,80022,(720) 580-0393,NLC10,1033762091,{},261QM0850X,"{104100000X,ACA,""Certified Addiction Counselor I"",""Certified Addiction Technician"",NLC,CSW,CSW,""Licensed Clinical Social Worker"",261QM0850X,38}",{},{},{},{},{},{},51000726,6613f74814f84055572dd81a54baa51db269ac45c2d7ffe07612b9dbbc1fa69c,hsd api,1/5/24 9:43 AM,No change,,,
176054,COLORADO IN-HOME COUNSELING,76741,1,1269 S Quivas St,,Denver,Denver,CO,80223,,,1093220006,{},251S00000X,"{251S00000X,25}",{},{},{},{},{},{},51000728,6faf9aa69baf1d4ab10bc9096d1935b1fa8149cad77d9e7d8cee753406361fce,hsd api,1/5/24 9:43 AM,No change,,,
131293,"BUFFALO RUN GROUP HOME, INC.",31399,1,14459 County Road 18 1/2,,Fort Lupton,Weld,CO,80621,(303) 318-0311,,1841584919,{},251S00000X,{251S00000X},{},{},{},{},{},{},51000729,83fcf6c79dbca1af668c637368381040a89d5907d5668f9b024cc5cd8b4403d3,hsd api,1/5/24 9:43 AM,No change,,,
236966,LA TRENZA COUNSELING INC.,139380,1,6332 E 72nd Ave,,Commerce City,Adams,CO,80022,(303) 287-4106,,1265845630,{},,"{101YA0400X,64}",{Wheelchair},"{""(Outpatient,SubstanceUseServices)"",""(""Intensive Outpatient"",SubstanceUseServices)"",""(""General Treatment"",SubstanceUseServices)"",""(DUI/DWI,SubstanceUseServices",{},"{English,Spanish}","{Medicaid,""Self Pay""}","{HIV,LGBTQIA+,Men,Military,""Older Adults"",Women,Offender,""Clients referred from Court/Judicial System""}",51000730,e94bf2e550e81b2c83436e726887c6255a36ee659e0d231671cc0dcf2b64b807,hsd api,1/5/24 9:43 AM,No change,,,
2060484,MATTIE CLOS,22021091,1,2919 Valmont Rd Ste 104,,Boulder,Boulder,CO,80301,(720) 580-0393,,1629718762,{},261QM0850X,"{38,261QM0850X}",{},{},{},{},{},{},51000731,eee5e2938566a5a0e1feb0ec35016689f254d1e65279c2f682a0f4549c6c1f3a,hsd api,1/5/24 9:43 AM,No change,,,
2032614,RUBIS LLC,17711016,1,417 E Kiowa St Unit 1003,,Colorado Springs,El Paso,CO,80903,(719) 235-8777,,1710558820,{},251S00000X,"{251S00000X,251C00000X,36}",{},{},{},{},{},{},51000732,220c2c4d6b5c13e681ddde8fda4271b84aed7e798ca5c109818b3ed63440183b,hsd api,1/5/24 9:43 AM,No change,,,
119692,"CROSSROADS' TURNING POINTS, IN",19730,1,1006 S Main St,,Lamar,Prowers,CO,81052,(719) 546-6667,,1013210947,{},251S00000X,"{251S00000X,64,261QR0405X}",{},{},{},{},{},{},51000733,d1ada8c575709adff8686c9b40e007228097917b5663d08cc87ed0a44f2a84fc,hsd api,1/5/24 9:43 AM,No change,,,
