path,input_files_field
,,
id,id
name,name
alternate_name,alternate_name
description,description
email,email
website,url
additional_websites[].,
tax_status,tax_status
tax_id,tax_id
year_incorporated,year_incorporated
legal_status,legal_status
logo,
uri,
parent_organization_id,
funding[].id,
contacts[].id,
phones[].id,
phones[].number,
locations[].id,
locations[].location_type,
locations[].name,
locations[].addresses[].id,
locations[].addresses[].location_id,
locations[].addresses[].address_1,
locations[].addresses[].city,
locations[].addresses[].region,
locations[].addresses[].state_province,
locations[].addresses[].postal_code,
locations[].addresses[].country,
locations[].addresses[].address_type,
locations[].phones[].id,
locations[].phones[].number,
programs[].id,
organization_identifiers[].id,
attributes[].id,
metadata[].id,
