path,input_files_field
id,id
location_type,
url,
organization_id,organization_id
name,name
alternate_name,alternate_name
description,description
transportation,transportation
latitude,latitude
longitude,longitude
external_identifier,
external_identifier_type,
languages[].id,
addresses[].id,
addresses[].location_id,
addresses[].address_1,
addresses[].city,
addresses[].region,
addresses[].state_province,
addresses[].postal_code,
addresses[].country,
addresses[].address_type,
phones[].id,
phones[].number,
