path,input_files_field
,
id,location_uuid
location_type,
url,location_url
organization_id,organization_uuid
name,location_name
alternate_name,
description,
transportation,
latitude,
longitude,
external_identifier,
external_identifier_type,
languages[].id,
addresses[].id,
addresses[].location_id,
addresses[].address_1,location_address
addresses[].city,
addresses[].region,
addresses[].state_province,
addresses[].postal_code,
addresses[].country,
addresses[].address_type,
phones[].id,
phones[].number,phones
