path,input_files_field
,
id,organization_uuid
name,organization_name
alternate_name,organization_alternate_name
description,organization_description
email,organization_email
website,
additional_websites[].,
tax_status,
tax_id,organization_tax_id
year_incorporated,organization_year_incorporated
legal_status,organization_legal_status
logo,
uri,organization_url
parent_organization_id,
funding[].id,
contacts[].id,
phones[].id,
phones[].number,
locations[].id,
locations[].location_type,
locations[].name,
locations[].addresses[].id,
locations[].addresses[].location_id,
locations[].addresses[].address_1,
locations[].addresses[].city,
locations[].addresses[].region,
locations[].addresses[].state_province,
locations[].addresses[].postal_code,
locations[].addresses[].country,
locations[].addresses[].address_type,
locations[].phones[].id,
locations[].phones[].number,
programs[].id,
organization_identifiers[].id,
attributes[].id,
metadata[].id,
