path,input_files_field,split,strip,description
,,,,
id,id,",",,
organization_id,organization_id,,,
program_id,program_id,,,
name,name,,,
alternate_name,alternate_name,,,
description,description,,,
url,url,,,
email,email,,,
status,status,,,
interpretation_services,interpretation_services,,,
application_process,application_process,,,
fees_description,,,,
wait_time,wait_time,,,
fees,,,,
accreditations,,,,
eligibility_description,,,,
minimum_age,,,,
maximum_age,,,,
assured_date,,,,
assurer_email,,,,
licenses,,,,
alert,,,,
last_modified,,,,
organization.id,,,,
organization.name,,,,
phones[].id,,,,
phones[].number,,,,
program.id,,,,
program.name,,,,
languages[].name,,,,,
