ID,LOCATION_ID,ORGANIZATION_ID,NUMBER,DESCRIPTION,ISACTIVE,DATE_ADDED,DATE_UPDATED,ISPRIMARY
6777,4063,4063,321-259-8515,Administration,TRUE,2022-03-03 14:48:20,2022-03-03 14:48:20,TRUE
2656,835,453,321-635-7999,Administration,TRUE,2017-04-21 18:30:00,2024-05-28 12:53:19,TRUE
2651,833,453,321-633-1878,Program,TRUE,2017-04-21 18:30:00,2017-04-21 18:30:00,TRUE
2652,834,453,321-633-1878,Administration,TRUE,2017-04-21 18:30:00,2021-01-14 21:12:11,TRUE
2653,834,453,321-952-4672,,FALSE,2017-04-21 18:30:00,2021-01-14 21:12:33,FALSE
2654,834,453,321-635-7815,,FALSE,2017-04-21 18:30:00,2021-01-14 21:12:35,FALSE
2655,834,453,321-633-1886,,FALSE,2017-04-21 18:30:00,2021-01-14 21:12:36,FALSE
801,2046,3,211,211 Helpline,TRUE,2017-04-06 19:28:09,2020-08-12 13:28:59,TRUE
3999,2046,3,407-425-2624,Crisis Hotline of Central Florida,FALSE,2017-04-21 18:30:00,2020-08-12 13:36:16,FALSE
4000,2046,3,321-632-6688,Outside of Brevard,TRUE,2017-04-21 18:30:00,2017-12-11 16:39:53,FALSE
802,2047,3,211,Program,TRUE,2017-04-06 19:28:09,2020-08-12 13:51:05,TRUE
6967,3704,3703,x211,Hotline,TRUE,2023-08-24 18:37:32,2023-08-24 18:37:32,TRUE
6317,3788,3787,321-953-2273,Administration,TRUE,2019-09-18 20:24:55,2019-09-18 20:24:55,TRUE
6436,3861,1,321-305-4397,Administration,TRUE,2020-03-13 12:39:22,2020-03-13 12:39:22,TRUE
6437,3861,1,321-806-3507,Fax,TRUE,2020-03-13 12:39:50,2020-03-13 12:39:50,FALSE
778,1992,35,321-639-9700,Business,TRUE,2017-04-06 19:28:09,2017-04-21 18:30:00,TRUE
6888,4138,4137,877-333-5885,AARP Family Caregiving Resource Line,TRUE,2023-02-01 18:03:23,2023-02-01 19:12:11,TRUE
6889,4138,4137,877-342-2277,Spanish,TRUE,2023-02-01 19:12:42,2023-02-01 19:12:42,FALSE
6179,3722,3721,321-503-1277,Administration,TRUE,2018-12-27 14:45:48,2018-12-28 20:21:15,TRUE
6180,3722,3721,321-505-1981,Hotline,FALSE,2018-12-27 14:45:48,2022-12-20 14:20:23,FALSE
3127,1343,240,407-303-5600,Administration,TRUE,2017-04-21 18:30:00,2023-10-18 18:08:24,TRUE
3128,1343,240,855-303-3627,Other,FALSE,2017-04-21 18:30:00,2023-10-18 18:08:17,FALSE
6620,3962,1,321-301-5832,Administration,TRUE,2021-03-09 13:28:12,2021-03-09 13:28:12,TRUE
