PROVIDER_SERVICE_CODE_ID,SERVICE_CODE_ID,ORGANIZATION_ID,LOCATION_ID,NAME,ALTERNATE_NAME,DESCRIPTION,TAXONOMY_DEFINITION,EMAIL,STATUS,APPLICATION_PROCESS,FEES,DATE_ADDED,DATE_UPDATED,LANGUAGES,SCHEDULE,FUNDING,ELIGIBILITY,SERVICE_AREAS,ISACTIVE,REQUIRED_DOCUMENTS
4971,19,4063,4063,BD-1800.2000,Food Pantries,Food pantry.,"Programs that acquire food products through donations, canned food drives, food bank programs or direct purchase and distribute the food to people who are in emergency situations. Some pantries deliver food to people whose disabilities or illnesses make it difficult for them to leave home.",,Available,Walk-in,None,2022-03-03 14:48:20,2024-11-12 21:40:29,English,"Thursdays, 5:30 p.m. - 6:30 p.m.",,Anyone,"[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2022-03-03T14:48:20""}]",TRUE,None
1678,234,453,835,BT-4500.6500-500,Non-Emergency Medical Transportation,"A joint program between 321 Transit and Community Services for the Elderly. Program provides transportation to medical appointments and grocery shopping for elderly clients who qualify for services. Volunteers are needed for the positions of: drivers, attendant/escorts; dispatch/reservationist and clerks.","Programs that provide transportation for medical appointments, trips from and between hospitals, to nursing homes or other special-care centers or for other non-emergency medical needs for individuals who, because of financial problems or their physical condition, are unable to use other means of local transportation. NEMT service providers are able to transport riders who require a wheelchair lift equipped vehicle with appropriate protective restraints or a van that is designed for gurney/stretcher transportation, or has other types of features to meet their safety needs.",,Available,Call,Call for details,1996-04-20 5:00:00,2024-10-18 16:52:37,English,"Office: Monday - Friday, 8:30 a.m. - 4:00 p.m.",,Call,"[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2019-10-02T16:25:30""}]",TRUE,ID
1679,235,453,835,BT-4500.6500-800,Senior Ride Programs,"A joint program between 321 Transit and Community Services for the Elderly. Program provides transportation to medical appointments and grocery shopping for elderly clients who qualify for services. Volunteers are needed for the positions of: drivers, attendant/escorts; dispatch/reservationist and clerks.","Programs that provide door-to-door (or curb-to-curb) transportation for purposes of medical appointments, shopping, banking, social events, and other similar activities for older adults who need special accommodations and are unable to utilize other available means of transportation.",,Available,Call,Call for details,1996-04-20 5:00:00,2024-10-18 16:52:45,English,"Office: Monday - Friday, 8:30 a.m. - 4:00 p.m.",,Call,"[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2022-08-29T21:41:18""}]",TRUE,ID
1681,223,453,833,BT-4500.4700-500,Local Bus Transit Services,"Paratransit services serves the mobility needs of those who are unable to utilize fixed routes by providing wheelchair accessible Paratransit vehicles, which carry passengers throughout Brevard County on a daily basis.","Organizations that provide fixed-route mass transit services that utilize buses to transport people within the limits of a city, a metropolitan area, a county or a multicounty region or to move people from outlying areas into a city or metropolitan area. With traditional fixed-route services, buses run along an established path at preset times picking up passengers at designated bus stops. Variations include express fixed-route services with fewer stops; deviated-fixed route services which allow vehicles to deviate from the fixed route to pick up passengers at other specific locations, e.g., places of employment or child care centers, while keeping to a timetable for scheduled stops; point-deviation services which allow vehicles to stop at scheduled stops per a timetable but pick up passengers with advanced reservations between scheduled stops; and arrangements in which vehicles have no fixed stops but allow riders to hail a vehicle which travels along a fixed route and request a drop-off anywhere along the route.",,Available,Call,"1-Ride Paratransit Fare is paid when boarding. Exact change is required, as the driver is not equipped to make change. 1-Ride Paratransit Fare is a $1.50. A 10-Ride Paratransit Pass is $15.00 and must be purchased in advance.",2016-04-06 5:00:00,2024-10-18 16:52:16,English,Call,,"Reduced fare and discounted passes must be verified for eligibility prior to being issued. All passes are non transferable. Those eligible for a reduced fare include transportation disadvantaged, seniors (60+), veterans and students.","[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2017-04-07T14:30:09""}]",TRUE,ID
1680,223,453,834,BT-4500.4700-500,Local Bus Transit Services,Fixed Route public bus services.,"Organizations that provide fixed-route mass transit services that utilize buses to transport people within the limits of a city, a metropolitan area, a county or a multicounty region or to move people from outlying areas into a city or metropolitan area. With traditional fixed-route services, buses run along an established path at preset times picking up passengers at designated bus stops. Variations include express fixed-route services with fewer stops; deviated-fixed route services which allow vehicles to deviate from the fixed route to pick up passengers at other specific locations, e.g., places of employment or child care centers, while keeping to a timetable for scheduled stops; point-deviation services which allow vehicles to stop at scheduled stops per a timetable but pick up passengers with advanced reservations between scheduled stops; and arrangements in which vehicles have no fixed stops but allow riders to hail a vehicle which travels along a fixed route and request a drop-off anywhere along the route.",,Available,Call for details,varies,1995-07-09 5:00:00,2024-10-18 16:51:49,English,Monday - Friday; 8:00 a.m. - 5:00 p.m.,,Brevard County residents,"[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2017-04-07T14:30:09""}]",TRUE,ID
5,3695,3,2046,TJ-4500.6500,Online Databases,"A searchable database of governmental, health and human services located in or available to those residing in Brevard County, FL.","Libraries or other organizations that provide online resources and/or search services for people who want to access a  wide range of digital information, materials, and services. A physical location such as a library may offer access to digitized content locally at a facility or remotely from any location online. Digital materials may include e-books, multimedia, digitized versions of articles and information from print sources such as magazines, newspapers, journals and reference books as well as music and other content.  Examples of digital service platforms and vendors include OCLC's (Online Computer Library Center) FirstSearch collection of databases, the National Library of Medicine's MEDLINE, the U.S. Department of Education's ERIC, LexisNexis, ProQuest, Ebsco and Gale/Cengage.",,Available,Call,None,2014-06-17 5:00:00,2024-07-01 15:21:37,English,"24 hours a day, seven days a week",,Anyone,"[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2017-04-07T14:28:09""}]",TRUE,None
6,3649,3,2046,TJ-3000.1500,Comprehensive Information and Referral,"Assessment for, information about and referral to health, human services, governmental services as well as hurricane preparation and recovery services",Programs that maintain information about the full range of human services and which function as the primary source of information about and linkage to human service providers in the community.,,Available,Call,None,2000-06-16 5:00:00,2024-07-01 15:21:29,English; others available by interpreter service,Office: Monday - Friday 8:00 a.m. - 5:00 p.m.; Seven days a week 24 hour hotline,,"Anyone seeking crisis intervention or needing help finding community services in Brevard County, FL","[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2017-04-07T14:28:09""}]",TRUE,None
3618,3210,3,2046,RP-1500.1400-800,Suicide Prevention Hotlines,Immediate assistance for individuals who are having suicidal feelings with the objective of finding alternatives to self-harm or self-destruction.,"Programs that provide immediate assistance for individuals who are having suicidal feelings with the objective of helping them explore alternatives to self-harm or self-destruction. Included are local, accredited hotlines, countywide and statewide programs, programs offered by local nonprofit organizations and via 988, the three digit dialing code designated by the Federal Communications Commission to replace or supplement the existing toll free number for the National Suicide Prevention Lifeline, a network of more than 200 local crisis centers. Suicide prevention workers establish and maintain contact with the individual while identifying and clarifying the focal problem, evaluate the suicidal potential, assess the individual's strengths and resources, and mobilize available resources including paramedic or police intervention and emergency psychiatric care as needed. These programs can also help individuals who are worried about the potentially suicidal behavior of another with the objective of helping them identify warning signs and provide options for seeking further help. Hotline staff are generally available via telephone, email, chat and/or text. ",,Available,Call,None,2017-05-18 13:43:10,2024-07-01 15:21:11,"English, Spanish via interpreter","24 hours a day, seven days a week",,Anyone,"[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2020-02-20T15:02:27""}]",TRUE,None
4681,683,3,2046,TH-1700.1800-300,Hurricane Preparedness Information,Disaster Information,"Programs that increase public awareness of the measures that people can take to protect lives and property before, during and after a hurricane.  Included are programs that inspect the homes of individual residents and give them a report which recommends ways to enhance their safety and reduce the risk of property damage or loss, as well as those that deal with hurricane safety in a more general way.  Hurricanes are tropical cyclones, formed in the atmosphere over warm ocean areas, in which wind speeds reach 74 miles per hour or more and blow in a large spiral around a relatively calm center or ""eye"".",,Available,Call,None,2020-07-31 13:19:47,2024-07-01 15:21:18,"English, Spanish via interpreter","24 hours a day, seven days a week",,Anyone,"[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2020-07-31T13:20:37""}]",TRUE,None
4,2415,3,2047,PH-1000,Case/Care Management,"Assist callers with questions regarding the behavioral and developmental concerns about a child, facilitate developmental screenings and provide ongoing support through care coordination. Help Me Grow is a national initiative for which 211 Brevard is the local affiliate.","Programs that develop plans for the evaluation, treatment and/or care of individuals who, because of age, illness, disability or other difficulties, need assistance in planning and arranging for services; which assess the individual's needs; coordinate the delivery of needed services; ensure that services are obtained in accordance with the case plan; and follow up and monitor progress to ensure that services are having a beneficial impact on the individual. Case management is a collaborative process characterized by communication, advocacy and resource management to promote high quality, cost-effective interventions and outcomes.",,Available,Call,None,2015-12-21 6:00:00,2024-07-03 13:47:30,English,"Monday - Friday, 8:00 a.m. - 4:00 p.m.",,Anyone,"[{""level"": ""County/Parish"", ""postal_code"": null, ""city"": null, ""county"": ""Brevard"", ""state"": ""FL"", ""state_name"": ""Florida"", ""date_added"": ""2017-04-07T14:28:09""}]",TRUE,ID
