path,input_files_field,split,strip,description
,,,,
id,SERVICE_CODE_ID,",",,
organization_id,ORGANIZATION_ID,,,
program_id,,,,
name,NAME,,,
alternate_name,ALTERNATE_NAME,,,
description,DESCRIPTION,,,
url,,,,
email,EMAIL,,,
status,,,,
interpretation_services,,,,
application_process,APPLICATION_PROCESS,,,
fees_description,FEES,,,
wait_time,,,,
fees,,,,
accreditations,,,,
eligibility_description,ELIGIBILITY,,,
minimum_age,,,,
maximum_age,,,,
assured_date,,,,
assurer_email,,,,
licenses,,,,
alert,,,,
last_modified,DATE_UPDATED,,,
organization.id,,,,
organization.name,,,,
phones[].id,,,,
phones[].number,,,,
program.id,,,,
program.name,,,,
languages[].name,LANGUAGES,",",,
required_documents[].document,REQUIRED_DOCUMENTS,,,
schedules[].description,SCHEDULE,,,
